瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),弥措 浅加(m/s),乞闭 浅加(m/s)
159,何魂,1934-01-01,-.8,-2.7,2.6,0,7.9,5.1
159,何魂,1934-01-02,0,-4.7,4.9,,5.2,2.5
159,何魂,1934-01-03,-1,-3.7,1.6,,6.5,4.7
159,何魂,1934-01-04,-1.9,-5.7,1.7,,6.2,4.4
159,何魂,1934-01-05,-2.6,-5.6,.6,,4.8,3
159,何魂,1934-01-06,-.8,-5.3,4,,7.9,4.4
159,何魂,1934-01-07,.3,-3,4.2,,5.4,4.6
159,何魂,1934-01-08,-.8,-3.7,3.7,,7.4,3.8
159,何魂,1934-01-09,-.1,-5.2,4.8,,10.9,4.6
159,何魂,1934-01-10,1,-2.5,5.2,,11.3,3.7
159,何魂,1934-01-11,-2.8,-6.4,2,,16.4,10.2
159,何魂,1934-01-12,-3,-6.4,1.7,,10.6,5.4
159,何魂,1934-01-13,-3.1,-7,2.5,,4.6,2.8
159,何魂,1934-01-14,.4,-5.5,5.4,,14.3,4.9
159,何魂,1934-01-15,3.3,-.4,7.5,,5.5,2.9
159,何魂,1934-01-16,.9,-1,3.4,,9.4,7.7
159,何魂,1934-01-17,-.4,-5.5,5.1,,13.7,7.8
159,何魂,1934-01-18,3.8,-.7,7.5,1.6,5.8,3.3
159,何魂,1934-01-19,2.3,-.2,5.7,2.6,9.3,4.9
159,何魂,1934-01-20,-3.6,-7.3,1.5,0,8.9,6.4
159,何魂,1934-01-21,-5.1,-8.2,-.2,,4.6,3.1
159,何魂,1934-01-22,-5.3,-7.6,-1.2,,21.8,5.2
159,何魂,1934-01-23,-5.9,-9,-.6,,5.7,6.1
159,何魂,1934-01-24,-6.6,-9.9,-1.9,,7,4.2
159,何魂,1934-01-25,-6.3,-9.8,-.5,,7.3,4.1
159,何魂,1934-01-26,-4.6,-8.9,.4,,5.8,3.7
159,何魂,1934-01-27,-1.1,-6.6,4.9,,11.4,5.1
159,何魂,1934-01-28,1.9,-2.5,7.3,,3.6,2.7
159,何魂,1934-01-29,4.2,-.6,8.7,,5.6,3.3
159,何魂,1934-01-30,4.5,.9,9.7,,3.1,2.1
159,何魂,1934-01-31,5,1.4,10.9,,5.6,2
159,何魂,1934-02-01,6.2,4.3,9.4,.4,6.9,6.5
159,何魂,1934-02-02,4.2,3.2,5.5,8,7.7,6.3
159,何魂,1934-02-03,1.5,-.8,5,2.6,5.7,3.8
159,何魂,1934-02-04,-.2,-3.5,3.7,,6.9,3.6
159,何魂,1934-02-05,.2,-1.2,3.9,0,5.8,3.5
159,何魂,1934-02-06,-.4,-4.1,4.4,,10.1,5.3
159,何魂,1934-02-07,2.1,-1.9,7.1,0,7.1,3.5
159,何魂,1934-02-08,1.4,-.9,6.6,,6.5,3.8
159,何魂,1934-02-09,.9,-2.4,5,,6.5,3.3
159,何魂,1934-02-10,3.2,-1.1,8.6,,4.6,2.4
159,何魂,1934-02-11,3.4,-1,8.6,,6.8,4
159,何魂,1934-02-12,3.5,-.7,8.7,,8.9,4
159,何魂,1934-02-13,4.2,.6,9.1,,3.3,2.4
159,何魂,1934-02-14,1.4,-1.5,4.6,,8.5,4.8
159,何魂,1934-02-15,.1,-4.5,6.4,,11.9,4.8
159,何魂,1934-02-16,2.1,-2.2,6.8,,5.5,4.2
159,何魂,1934-02-17,5,.1,9.3,,6.3,4.2
159,何魂,1934-02-18,3.9,-1,7.4,,9.3,6.6
159,何魂,1934-02-19,-.4,-5.6,5.3,,5.3,3.2
159,何魂,1934-02-20,3.2,-2.5,8.7,,5.1,3.2
159,何魂,1934-02-21,6.5,2.3,12.3,,6.1,4.5
159,何魂,1934-02-22,5.2,1.5,10.6,,7.8,5.3
159,何魂,1934-02-23,3.4,-2.7,7.8,,9.3,4.5
159,何魂,1934-02-24,5,-1,10.3,,7.1,4.2
159,何魂,1934-02-25,5,2.2,10.6,,9,2.9
159,何魂,1934-02-26,2.1,-1.6,7.5,,14.1,6.9
159,何魂,1934-02-27,1.4,-2.2,6.2,,12.2,5.8
159,何魂,1934-02-28,4.9,-1,10.2,0,6.1,4.4
159,何魂,1934-03-01,2.3,-.1,7,,5.8,5.1
159,何魂,1934-03-02,2,-2.3,8.1,,9.8,5.8
159,何魂,1934-03-03,2.3,-.4,6.8,,8.3,6
159,何魂,1934-03-04,.8,-1.3,4.4,0,10.7,5.1
159,何魂,1934-03-05,-1.4,-5.6,3.1,,5.5,4.3
159,何魂,1934-03-06,2.7,-1.8,9.2,,9,4.4
159,何魂,1934-03-07,4.5,-.1,10.7,2.2,5.7,3.5
159,何魂,1934-03-08,5.2,2.3,9.8,,10.7,6.8
159,何魂,1934-03-09,3.3,-1.8,9.1,,3.7,2.8
159,何魂,1934-03-10,4.1,.2,9,,5,4.5
159,何魂,1934-03-11,5.9,2.9,8.4,2.2,7.3,6.1
159,何魂,1934-03-12,9.3,6.8,11.3,37,12.8,8.2
159,何魂,1934-03-13,6.1,2.2,9.8,,14.5,5.3
159,何魂,1934-03-14,1.3,-.7,5.1,,10.6,7.4
159,何魂,1934-03-15,1.1,-1.2,5.1,,10.5,8.1
159,何魂,1934-03-16,1.8,-2.5,7,,7.8,6.2
159,何魂,1934-03-17,6,-.6,12.1,,8.2,5.4
159,何魂,1934-03-18,11.1,7.6,13.6,,13.8,10.9
159,何魂,1934-03-19,10.3,6,15.9,,9,4.5
159,何魂,1934-03-20,12.6,10,15.8,,9,7.6
159,何魂,1934-03-21,4.2,2,13.4,11.1,12.6,10.5
159,何魂,1934-03-22,5,.8,8.4,0,8.4,5
159,何魂,1934-03-23,10.3,5.3,14,0,13,5.9
159,何魂,1934-03-24,12.5,10.2,14.6,.2,13.1,7.1
159,何魂,1934-03-25,9.8,6.3,13.5,,6.3,3.2
159,何魂,1934-03-26,10.6,8.5,19.1,.1,5.7,3.5
159,何魂,1934-03-27,7.4,6.3,9.4,0,13.3,9
159,何魂,1934-03-28,6.3,4.7,7.7,1.2,6.4,5.6
159,何魂,1934-03-29,5.9,3.8,9.8,0,6.5,4.4
159,何魂,1934-03-30,5.8,1.3,10.6,,4.6,3.5
159,何魂,1934-03-31,8.1,5.6,11.6,,3.7,2.8
159,何魂,1934-04-01,8,5.7,12.5,,6.8,4.4
159,何魂,1934-04-02,7.3,2.7,13.2,,6.1,4
159,何魂,1934-04-03,9.3,7.4,12,2.3,4.8,3.4
159,何魂,1934-04-04,12.2,8.1,16.6,,3.7,3
159,何魂,1934-04-05,6.4,4.9,12.5,0,10.8,7.4
