지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s)
108,서울,1934-01-01,-7.5,-10.6,-4.4,,5.7,2.6
108,서울,1934-01-02,-6.9,-11.2,-2.8,,4.3,1.3
108,서울,1934-01-03,-9.3,-11.3,-6.1,,6.2,3.8
108,서울,1934-01-04,-9.4,-12.4,-4.9,,5.5,3
108,서울,1934-01-05,-8.9,-11.9,-5.5,,3.1,1.7
108,서울,1934-01-06,-7.4,-12.9,-2.8,,3.3,1.4
108,서울,1934-01-07,-7.3,-12.4,-2.4,,4.2,1.3
108,서울,1934-01-08,-7.5,-11.5,-3.6,,5.2,2.4
108,서울,1934-01-09,-5.9,-11.4,-2,0,3.2,1.9
108,서울,1934-01-10,-6.1,-10.4,-1.3,4.6,6.7,2.8
108,서울,1934-01-11,-12.4,-15.7,-8.2,,3.5,1.7
108,서울,1934-01-12,-11.9,-18.7,-6.6,,4.8,1.7
108,서울,1934-01-13,-11.2,-17.2,-6.4,,4.7,2.2
108,서울,1934-01-14,-10.8,-17.2,-5,,3.8,1.2
108,서울,1934-01-15,-6.5,-13.6,-1.1,,3.1,1.2
108,서울,1934-01-16,-6.2,-8,-2.5,,5.2,2.9
108,서울,1934-01-17,-8.2,-13.1,-2.2,,3.8,1.3
108,서울,1934-01-18,-5.6,-11.8,.2,,3.3,1.4
108,서울,1934-01-19,-4.3,-6.8,.9,.4,4,1.3
108,서울,1934-01-20,-10.7,-12.5,-4.2,0,8,4.7
108,서울,1934-01-21,-10.7,-13.6,-7.4,,5.2,2.4
108,서울,1934-01-22,-10.9,-13.3,-6.6,,6.7,3.2
108,서울,1934-01-23,-12.3,-14.8,-8.2,,8,3.6
108,서울,1934-01-24,-13.9,-16.2,-10.4,,5.3,3.3
108,서울,1934-01-25,-13.2,-16.6,-8.9,,4.5,1.8
108,서울,1934-01-26,-11.9,-18,-6.5,,4.7,1.6
108,서울,1934-01-27,-7.7,-17.1,-.9,,2.8,1.1
108,서울,1934-01-28,-3.4,-10.9,2.4,,2.5,1.5
108,서울,1934-01-29,-1.4,-4.4,2.8,.3,5.3,2.4
108,서울,1934-01-30,-4.8,-10.5,2.3,,3.8,1.4
108,서울,1934-01-31,-3.8,-10.8,1.7,,4.9,1.7
108,서울,1934-02-01,.7,-4.8,4.6,0,3.8,1.7
108,서울,1934-02-02,.2,-.9,1.3,12.8,5,2.6
108,서울,1934-02-03,-4,-7,-.6,1.7,6.2,2.4
108,서울,1934-02-04,-5.5,-11.6,-.1,,5.9,2.4
108,서울,1934-02-05,-5.8,-9,-2.5,,4.6,2.4
108,서울,1934-02-06,-5.5,-12.2,.1,,4.2,1.6
108,서울,1934-02-07,-2.2,-7.1,2.6,0,6.1,2.8
108,서울,1934-02-08,-4.2,-7.3,-.8,,5.3,3.2
108,서울,1934-02-09,-2.7,-8.1,2.5,,5.5,2.3
108,서울,1934-02-10,-1.5,-8.4,3.9,,4.9,2
108,서울,1934-02-11,-.9,-5.7,4.3,,4.7,2
108,서울,1934-02-12,-1.2,-6.1,2.6,,5,2.3
108,서울,1934-02-13,-1.8,-5.9,1.6,.2,4.8,1.2
108,서울,1934-02-14,-4,-6.7,-.9,.5,6.7,4.3
108,서울,1934-02-15,-5,-8.8,0,,4.9,2.8
108,서울,1934-02-16,-1.9,-8.8,3.6,,5.3,2.4
108,서울,1934-02-17,2.4,-1.6,5.7,0,5.8,2.2
108,서울,1934-02-18,-3,-5.8,3.6,0,10.5,7.3
108,서울,1934-02-19,-4.9,-9.1,.4,,5.7,3.2
108,서울,1934-02-20,-2,-8.2,4.3,,5,1.9
108,서울,1934-02-21,1.5,-2.5,3.9,0,5.8,2.2
108,서울,1934-02-22,-1.5,-3.9,3.1,2,8.9,5.5
108,서울,1934-02-23,-3.2,-7.3,.6,,4.2,2.7
108,서울,1934-02-24,-2.3,-6.7,3.1,,4.8,2.9
108,서울,1934-02-25,-2.4,-6.5,2.7,,6.2,2.5
108,서울,1934-02-26,-2,-5.9,2.5,,5.3,3.4
108,서울,1934-02-27,-1.2,-5.2,4.2,,6.2,3.2
